Category,Name,Variant Name,Price,URL,Image,Alcool,Type,uid
Bière,Coup de foudre - Světlý Ležák,,6.00,https://boutique.veuxtuunebiere.com/collections/blonde-1/products/coup-de-foudre-svetly-lezak,https://cdn.shopify.com/s/files/1/0543/8482/0409/products/les_grands_bois_coup_de_foudre_svetly_lezak_600_714.png?v=1617378388,5%,blonde,1d6440a4e4d448c5a5fd834dbd96ac65
Bière,Leichtbier,,7.25,https://boutique.veuxtuunebiere.com/collections/blonde-1/products/leichtbier-1,https://cdn.shopify.com/s/files/1/0543/8482/0409/products/le_cheval_blanc_leichtbier_600_714.png?v=1617378586,5%,blonde,047235f573ed4f56b596d8f85059457d
Bière,Pilsner,,5.50,https://boutique.veuxtuunebiere.com/collections/blonde-1/products/pilsner,https://cdn.shopify.com/s/files/1/0543/8482/0409/products/les_trois_mousquetaires_pilsner_600_714.png?v=1617066807,6%,blonde,9d0dc9110dbd4265baf2056f0dd3bd5e
Bière,Diable belge,,4.25,https://boutique.veuxtuunebiere.com/collections/blonde-1/products/diable-belge,https://cdn.shopify.com/s/files/1/0543/8482/0409/products/l_hermite_diable_belge_600_714.png?v=1617290953,9%,blonde,7cee4ef1b0f44d32a1d8d897c4b6381d
Bière,Rauchbier,,7.25,https://boutique.veuxtuunebiere.com/collections/blonde-1/products/rauchbier,https://cdn.shopify.com/s/files/1/0543/8482/0409/products/isle_de_garde_rauchbier_600_714.png?v=1617235321,4.9%,blonde,6cb776c9880f4fe38e5e0da320b21da2
Bière,Pilsner,,5.75,https://boutique.veuxtuunebiere.com/collections/blonde-1/products/yakima-dieu-du-ciel,https://cdn.shopify.com/s/files/1/0543/8482/0409/products/castor_pilsner_600_714.png?v=1616033821,5%,blonde,0b6b4a9630974deab99200fb62b29c1c
Bière,Blonde,,3.50,https://boutique.veuxtuunebiere.com/collections/blonde-1/products/blonde,https://cdn.shopify.com/s/files/1/0543/8482/0409/products/glutenberg_blonde_600_714.png?v=1619194176,4.5%,blonde,4a0d70b95d7e40f5816f0619804d3044
Bière,Saison multigrain,,4.00,https://boutique.veuxtuunebiere.com/collections/blonde-1/products/saison-multigrain,https://cdn.shopify.com/s/files/1/0543/8482/0409/products/l_hermite_saison_multigrain_600_714.png?v=1615914509,7.5%,blonde,410882d10eef4a62aa3e3e551e58e592
Bière,Helix - Farmhouse,,5.75,https://boutique.veuxtuunebiere.com/collections/blonde-1/products/farmhouse,https://cdn.shopify.com/s/files/1/0543/8482/0409/products/veux-tu-une-biere-nouvelle-france-helix-farmhouse.png?v=1619723132,5.2%,blonde,cef85ff701e44b479930e3c578658e84
Bière,Saison aux fruits et à l'hibiscus,,4.00,https://boutique.veuxtuunebiere.com/collections/blonde-1/products/saison-aux-fruits-et-a-l-hibiscus,,3.7%,blonde,361c056a3991448d9ba44c49d93c9176
